model,run_name,K,time_seconds,time_minutes
BERTopic,LIGHT_EMBfinal_fullK10,10,178.79,2.98
BERTopic,HEAVY_EMBfinal_fullK10,10,141.75,2.36
BERTopic,LIGHT_EMBfinal3_fullK10,10,178.51,2.98
BERTopic,HEAVY_EMBfinal3_fullK10,10,141.34,2.36
BERTopic,LIGHT_EMBfinal_fullK20,20,174.28,2.9
BERTopic,HEAVY_EMBfinal_fullK20,20,137.61,2.29
BERTopic,LIGHT_EMBfinal3_fullK20,20,170.46,2.84
BERTopic,HEAVY_EMBfinal3_fullK20,20,136.81,2.28
BERTopic,LIGHT_EMBfinal_fullK30,30,181.0,3.02
BERTopic,HEAVY_EMBfinal_fullK30,30,140.51,2.34
BERTopic,LIGHT_EMBfinal3_fullK30,30,181.26,3.02
BERTopic,HEAVY_EMBfinal3_fullK30,30,140.05,2.33
BERTopic,LIGHT_EMBfinal_fullK40,40,180.81,3.01
BERTopic,HEAVY_EMBfinal_fullK40,40,136.63,2.28
BERTopic,LIGHT_EMBfinal3_fullK40,40,167.99,2.8
BERTopic,HEAVY_EMBfinal3_fullK40,40,139.65,2.33
BERTopic,LIGHT_EMBfinal_fullK50,50,168.57,2.81
BERTopic,HEAVY_EMBfinal_fullK50,50,136.43,2.27
BERTopic,LIGHT_EMBfinal3_fullK50,50,169.28,2.82
BERTopic,HEAVY_EMBfinal3_fullK50,50,135.87,2.26
BERTopic,LIGHT_EMBfinal_fullK60,60,167.06,2.78
BERTopic,HEAVY_EMBfinal_fullK60,60,134.26,2.24
BERTopic,LIGHT_EMBfinal3_fullK60,60,169.76,2.83
BERTopic,HEAVY_EMBfinal3_fullK60,60,138.27,2.3
BERTopic,LIGHT_EMBfinal_noiseparams_fullK10,10,198.22,3.3
BERTopic,HEAVY_EMBfinal_noiseparams_fullK10,10,156.07,2.6
BERTopic,LIGHT_EMBfinal3_noiseparams_fullK10,10,185.8,3.1
BERTopic,HEAVY_EMBfinal3_noiseparams_fullK10,10,154.25,2.57
BERTopic,LIGHT_EMBfinal_noiseparams_fullK20,20,191.14,3.19
BERTopic,HEAVY_EMBfinal_noiseparams_fullK20,20,157.5,2.62
BERTopic,LIGHT_EMBfinal3_noiseparams_fullK20,20,183.84,3.06
BERTopic,HEAVY_EMBfinal3_noiseparams_fullK20,20,152.93,2.55
BERTopic,LIGHT_EMBfinal_noiseparams_fullK30,30,184.59,3.08
