Experiment,Model,Variant,Embedding,K,Repeat,Source_File,Total_Docs,Noise_Docs,Noise_Percent,Final_Topics_Found
HEAVY_EMBfinal_fullK10,BERTopic,Base,Heavy,10,Run1,bertopic_assignments_HEAVY_EMBfinal_fullK10.csv,150000,3911,2.6073333333333335,10
HEAVY_EMBfinal2_fullK10,BERTopic,Base,Heavy,10,Run2,bertopic_assignments_HEAVY_EMBfinal2_fullK10.csv,150000,85843,57.22866666666667,10
HEAVY_EMBfinal3_fullK10,BERTopic,Base,Heavy,10,Run3,bertopic_assignments_HEAVY_EMBfinal3_fullK10.csv,150000,84233,56.15533333333333,10
HEAVY_EMBfinal_fullK20,BERTopic,Base,Heavy,20,Run1,bertopic_assignments_HEAVY_EMBfinal_fullK20.csv,150000,86572,57.71466666666667,20
HEAVY_EMBfinal2_fullK20,BERTopic,Base,Heavy,20,Run2,bertopic_assignments_HEAVY_EMBfinal2_fullK20.csv,150000,84614,56.409333333333336,20
HEAVY_EMBfinal3_fullK20,BERTopic,Base,Heavy,20,Run3,bertopic_assignments_HEAVY_EMBfinal3_fullK20.csv,150000,84224,56.14933333333333,20
HEAVY_EMBfinal_fullK30,BERTopic,Base,Heavy,30,Run1,bertopic_assignments_HEAVY_EMBfinal_fullK30.csv,150000,86760,57.84,30
HEAVY_EMBfinal2_fullK30,BERTopic,Base,Heavy,30,Run2,bertopic_assignments_HEAVY_EMBfinal2_fullK30.csv,150000,89959,59.97266666666666,30
HEAVY_EMBfinal3_fullK30,BERTopic,Base,Heavy,30,Run3,bertopic_assignments_HEAVY_EMBfinal3_fullK30.csv,150000,83053,55.36866666666667,30
HEAVY_EMBfinal_fullK40,BERTopic,Base,Heavy,40,Run1,bertopic_assignments_HEAVY_EMBfinal_fullK40.csv,150000,87514,58.342666666666666,40
HEAVY_EMBfinal2_fullK40,BERTopic,Base,Heavy,40,Run2,bertopic_assignments_HEAVY_EMBfinal2_fullK40.csv,150000,84946,56.63066666666666,40
HEAVY_EMBfinal3_fullK40,BERTopic,Base,Heavy,40,Run3,bertopic_assignments_HEAVY_EMBfinal3_fullK40.csv,150000,88327,58.88466666666666,40
HEAVY_EMBfinal_fullK50,BERTopic,Base,Heavy,50,Run1,bertopic_assignments_HEAVY_EMBfinal_fullK50.csv,150000,1286,0.8573333333333334,50
HEAVY_EMBfinal2_fullK50,BERTopic,Base,Heavy,50,Run2,bertopic_assignments_HEAVY_EMBfinal2_fullK50.csv,150000,88936,59.29066666666667,50
HEAVY_EMBfinal3_fullK50,BERTopic,Base,Heavy,50,Run3,bertopic_assignments_HEAVY_EMBfinal3_fullK50.csv,150000,83668,55.778666666666666,50
HEAVY_EMBfinal_fullK60,BERTopic,Base,Heavy,60,Run1,bertopic_assignments_HEAVY_EMBfinal_fullK60.csv,150000,86941,57.96066666666667,60
HEAVY_EMBfinal2_fullK60,BERTopic,Base,Heavy,60,Run2,bertopic_assignments_HEAVY_EMBfinal2_fullK60.csv,150000,86484,57.656,60
HEAVY_EMBfinal3_fullK60,BERTopic,Base,Heavy,60,Run3,bertopic_assignments_HEAVY_EMBfinal3_fullK60.csv,150000,86804,57.86933333333333,60
LIGHT_EMBfinal_fullK10,BERTopic,Base,Light,10,Run1,bertopic_assignments_LIGHT_EMBfinal_fullK10.csv,150000,71221,47.480666666666664,10
LIGHT_EMBfinal2_fullK10,BERTopic,Base,Light,10,Run2,bertopic_assignments_LIGHT_EMBfinal2_fullK10.csv,150000,70864,47.242666666666665,10
LIGHT_EMBfinal3_fullK10,BERTopic,Base,Light,10,Run3,bertopic_assignments_LIGHT_EMBfinal3_fullK10.csv,150000,70622,47.08133333333333,10
LIGHT_EMBfinal_fullK20,BERTopic,Base,Light,20,Run1,bertopic_assignments_LIGHT_EMBfinal_fullK20.csv,150000,74372,49.58133333333333,20
LIGHT_EMBfinal2_fullK20,BERTopic,Base,Light,20,Run2,bertopic_assignments_LIGHT_EMBfinal2_fullK20.csv,150000,75986,50.657333333333334,20
LIGHT_EMBfinal3_fullK20,BERTopic,Base,Light,20,Run3,bertopic_assignments_LIGHT_EMBfinal3_fullK20.csv,150000,71503,47.66866666666667,20
LIGHT_EMBfinal_fullK30,BERTopic,Base,Light,30,Run1,bertopic_assignments_LIGHT_EMBfinal_fullK30.csv,150000,72612,48.408,30
LIGHT_EMBfinal2_fullK30,BERTopic,Base,Light,30,Run2,bertopic_assignments_LIGHT_EMBfinal2_fullK30.csv,150000,74564,49.70933333333333,30
LIGHT_EMBfinal3_fullK30,BERTopic,Base,Light,30,Run3,bertopic_assignments_LIGHT_EMBfinal3_fullK30.csv,150000,72231,48.154,30
LIGHT_EMBfinal_fullK40,BERTopic,Base,Light,40,Run1,bertopic_assignments_LIGHT_EMBfinal_fullK40.csv,150000,67948,45.29866666666666,40
LIGHT_EMBfinal2_fullK40,BERTopic,Base,Light,40,Run2,bertopic_assignments_LIGHT_EMBfinal2_fullK40.csv,150000,75211,50.14066666666667,40
LIGHT_EMBfinal3_fullK40,BERTopic,Base,Light,40,Run3,bertopic_assignments_LIGHT_EMBfinal3_fullK40.csv,150000,70330,46.88666666666666,40
LIGHT_EMBfinal_fullK50,BERTopic,Base,Light,50,Run1,bertopic_assignments_LIGHT_EMBfinal_fullK50.csv,150000,73760,49.17333333333333,50
LIGHT_EMBfinal2_fullK50,BERTopic,Base,Light,50,Run2,bertopic_assignments_LIGHT_EMBfinal2_fullK50.csv,150000,74768,49.845333333333336,50
LIGHT_EMBfinal3_fullK50,BERTopic,Base,Light,50,Run3,bertopic_assignments_LIGHT_EMBfinal3_fullK50.csv,150000,73381,48.92066666666667,50
LIGHT_EMBfinal_fullK60,BERTopic,Base,Light,60,Run1,bertopic_assignments_LIGHT_EMBfinal_fullK60.csv,150000,75541,50.36066666666667,60
LIGHT_EMBfinal2_fullK60,BERTopic,Base,Light,60,Run2,bertopic_assignments_LIGHT_EMBfinal2_fullK60.csv,150000,73454,48.96933333333333,60
LIGHT_EMBfinal3_fullK60,BERTopic,Base,Light,60,Run3,bertopic_assignments_LIGHT_EMBfinal3_fullK60.csv,150000,67761,45.174,60
HEAVY_EMBfinal_noiseparams_fullK10,BERTopic,NoiseParams,Heavy,10,Run1,bertopic_assignments_HEAVY_EMBfinal_noiseparams_fullK10.csv,150000,58782,39.188,10
HEAVY_EMBfinal2_noiseparams_fullK10,BERTopic,NoiseParams,Heavy,10,Run2,bertopic_assignments_HEAVY_EMBfinal2_noiseparams_fullK10.csv,150000,56744,37.82933333333333,10
HEAVY_EMBfinal3_noiseparams_fullK10,BERTopic,NoiseParams,Heavy,10,Run3,bertopic_assignments_HEAVY_EMBfinal3_noiseparams_fullK10.csv,150000,58841,39.227333333333334,10
