Model,Variant,Embedding,K,Runs,Total_Docs_mean,Noise_Docs_mean,Noise_Docs_std,Noise_Percent_mean,Noise_Percent_std,Final_Topics_Found_mean,Final_Topics_Found_std
BERTopic,Base,Heavy,10,3,150000.0,57995.667,46845.612,38.664,31.23,10.0,0.0
BERTopic,Base,Heavy,20,3,150000.0,85136.667,1258.237,56.758,0.839,20.0,0.0
BERTopic,Base,Heavy,30,3,150000.0,86590.667,3456.113,57.727,2.304,30.0,0.0
BERTopic,Base,Heavy,40,3,150000.0,86929.0,1764.783,57.953,1.177,40.0,0.0
BERTopic,Base,Heavy,50,3,150000.0,57963.333,49154.634,38.642,32.77,50.0,0.0
BERTopic,Base,Heavy,60,3,150000.0,86743.0,234.527,57.829,0.156,60.0,0.0
BERTopic,Base,Light,10,3,150000.0,70902.333,301.334,47.268,0.201,10.0,0.0
BERTopic,Base,Light,20,3,150000.0,73953.667,2270.589,49.302,1.514,20.0,0.0
BERTopic,Base,Light,30,3,150000.0,73135.667,1251.556,48.757,0.834,30.0,0.0
BERTopic,Base,Light,40,3,150000.0,71163.0,3702.46,47.442,2.468,40.0,0.0
BERTopic,Base,Light,50,3,150000.0,73969.667,716.877,49.313,0.478,50.0,0.0
BERTopic,Base,Light,60,3,150000.0,72252.0,4026.873,48.168,2.685,60.0,0.0
BERTopic,NoiseParams,Heavy,10,3,150000.0,58122.333,1194.036,38.748,0.796,10.0,0.0
BERTopic,NoiseParams,Heavy,20,3,150000.0,57978.333,1109.072,38.652,0.739,20.0,0.0
BERTopic,NoiseParams,Heavy,30,3,150000.0,57601.667,1229.834,38.401,0.82,30.0,0.0
BERTopic,NoiseParams,Heavy,40,3,150000.0,58587.0,342.11,39.058,0.228,40.0,0.0
BERTopic,NoiseParams,Heavy,50,3,150000.0,58357.0,995.729,38.905,0.664,50.0,0.0
BERTopic,NoiseParams,Heavy,60,3,150000.0,58272.667,376.811,38.848,0.251,60.0,0.0
BERTopic,NoiseParams,Light,10,3,150000.0,55689.333,675.592,37.126,0.45,10.0,0.0
BERTopic,NoiseParams,Light,20,3,150000.0,55266.667,1414.446,36.844,0.943,20.0,0.0
BERTopic,NoiseParams,Light,30,3,150000.0,55612.333,346.454,37.075,0.231,30.0,0.0
BERTopic,NoiseParams,Light,40,3,150000.0,53281.333,804.658,35.521,0.536,40.0,0.0
BERTopic,NoiseParams,Light,50,3,150000.0,56393.0,1716.653,37.595,1.144,50.0,0.0
BERTopic,NoiseParams,Light,60,3,150000.0,54700.333,2883.792,36.467,1.923,60.0,0.0
BERTopic,Reassignment,Heavy,10,3,150000.0,0.0,0.0,0.0,0.0,10.0,0.0
BERTopic,Reassignment,Heavy,20,3,150000.0,0.0,0.0,0.0,0.0,20.0,0.0
BERTopic,Reassignment,Heavy,30,3,150000.0,0.0,0.0,0.0,0.0,30.0,0.0
BERTopic,Reassignment,Heavy,40,3,150000.0,0.0,0.0,0.0,0.0,40.0,0.0
BERTopic,Reassignment,Heavy,50,3,150000.0,0.0,0.0,0.0,0.0,50.0,0.0
BERTopic,Reassignment,Heavy,60,3,150000.0,0.0,0.0,0.0,0.0,60.0,0.0
BERTopic,Reassignment,Light,10,3,150000.0,0.0,0.0,0.0,0.0,10.0,0.0
BERTopic,Reassignment,Light,20,3,150000.0,0.0,0.0,0.0,0.0,20.0,0.0
BERTopic,Reassignment,Light,30,3,150000.0,0.0,0.0,0.0,0.0,30.0,0.0
BERTopic,Reassignment,Light,40,3,150000.0,0.0,0.0,0.0,0.0,40.0,0.0
BERTopic,Reassignment,Light,50,3,150000.0,0.0,0.0,0.0,0.0,50.0,0.0
BERTopic,Reassignment,Light,60,3,150000.0,0.0,0.0,0.0,0.0,60.0,0.0
