Model,Variant,Embedding,Vocab,K,Repeat,Experiment,Source_File,Timing_Run_Name,NPMI,Diversity,Valid_Topics,Dropped_Topics
BERTopic,Base fullK,Light,,10,Run1,BERTopic | Base fullK | Light | K10 | Run1,bertopic_topics_LIGHT_EMBfinal_fullK10.json,LIGHT_EMBfinal_K10,0.08304958373563123,0.96,10,0
BERTopic,Base fullK,Heavy,,10,Run1,BERTopic | Base fullK | Heavy | K10 | Run1,bertopic_topics_HEAVY_EMBfinal_fullK10.json,HEAVY_EMBfinal_K10,0.09850892943721301,0.95,10,0
BERTopic,Base fullK,Light,,20,Run1,BERTopic | Base fullK | Light | K20 | Run1,bertopic_topics_LIGHT_EMBfinal_fullK20.json,LIGHT_EMBfinal_K20,0.14727966053191816,0.9368421052631579,19,0
BERTopic,Base fullK,Heavy,,20,Run1,BERTopic | Base fullK | Heavy | K20 | Run1,bertopic_topics_HEAVY_EMBfinal_fullK20.json,HEAVY_EMBfinal_K20,0.11686105200859671,0.915,20,0
BERTopic,Base fullK,Light,,30,Run1,BERTopic | Base fullK | Light | K30 | Run1,bertopic_topics_LIGHT_EMBfinal_fullK30.json,LIGHT_EMBfinal_K30,0.1182446190142674,0.8689655172413793,29,1
BERTopic,Base fullK,Heavy,,30,Run1,BERTopic | Base fullK | Heavy | K30 | Run1,bertopic_topics_HEAVY_EMBfinal_fullK30.json,HEAVY_EMBfinal_K30,0.17373141581748325,0.8888888888888888,27,2
BERTopic,Base fullK,Light,,40,Run1,BERTopic | Base fullK | Light | K40 | Run1,bertopic_topics_LIGHT_EMBfinal_fullK40.json,LIGHT_EMBfinal_K40,0.1268932501333353,0.8475,40,0
BERTopic,Base fullK,Heavy,,40,Run1,BERTopic | Base fullK | Heavy | K40 | Run1,bertopic_topics_HEAVY_EMBfinal_fullK40.json,HEAVY_EMBfinal_K40,0.17794874066416658,0.8263157894736842,38,1
BERTopic,Base fullK,Light,,50,Run1,BERTopic | Base fullK | Light | K50 | Run1,bertopic_topics_LIGHT_EMBfinal_fullK50.json,LIGHT_EMBfinal_K50,0.13146201586270434,0.8408163265306122,49,1
BERTopic,Base fullK,Heavy,,50,Run1,BERTopic | Base fullK | Heavy | K50 | Run1,bertopic_topics_HEAVY_EMBfinal_fullK50.json,HEAVY_EMBfinal_K50,0.20107528077235026,0.89375,32,1
BERTopic,Base fullK,Light,,60,Run1,BERTopic | Base fullK | Light | K60 | Run1,bertopic_topics_LIGHT_EMBfinal_fullK60.json,LIGHT_EMBfinal_K60,0.1384032106089249,0.8135593220338984,59,0
BERTopic,Base fullK,Heavy,,60,Run1,BERTopic | Base fullK | Heavy | K60 | Run1,bertopic_topics_HEAVY_EMBfinal_fullK60.json,HEAVY_EMBfinal_K60,0.14430539344169996,0.8344827586206897,58,1
BERTopic,Base fullK,Light,,10,Run2,BERTopic | Base fullK | Light | K10 | Run2,bertopic_topics_LIGHT_EMBfinal2_fullK10.json,LIGHT_EMBfinal2_K10,0.10880233811978912,0.98,10,0
