Model,Variant,Embedding,Vocab,K,Runs,Metric_Runs,Runtime_Runs,NPMI_mean,NPMI_std,Diversity_mean,Diversity_std,Valid_Topics_mean,Valid_Topics_std,Dropped_Topics_mean,Dropped_Topics_std,Runtime_Seconds_mean,Runtime_Seconds_std,Runtime_Minutes_mean,Runtime_Minutes_std
BERTopic,Base fullK,Heavy,,10,3,3,3,0.1471,0.0439,0.9574,0.0179,9.3333,0.5774,0.6667,0.5774,141.3733,0.3612,2.3567,0.0058
BERTopic,Base fullK,Heavy,,20,3,3,3,0.1464,0.0256,0.9278,0.0172,19.3333,0.5774,0.6667,0.5774,138.56,2.3722,2.3067,0.0379
BERTopic,Base fullK,Heavy,,30,3,3,3,0.1738,0.0187,0.8847,0.0108,28.0,1.0,1.3333,0.5774,140.2033,0.2656,2.3333,0.0058
BERTopic,Base fullK,Heavy,,40,3,3,3,0.166,0.0297,0.8565,0.0278,37.3333,0.5774,1.6667,0.5774,140.1467,3.7895,2.3367,0.0603
BERTopic,Base fullK,Heavy,,50,3,3,3,0.1627,0.0442,0.8674,0.0296,42.6667,9.2376,1.0,0.0,137.5767,2.4869,2.29,0.0436
BERTopic,Base fullK,Heavy,,60,3,3,3,0.1637,0.0174,0.8351,0.0061,58.0,0.0,1.0,0.0,138.2067,3.9154,2.3033,0.0651
BERTopic,Base fullK,Light,,10,3,3,3,0.1198,0.0433,0.9726,0.011,9.6667,0.5774,0.0,0.0,180.9933,4.0612,3.0167,0.0635
BERTopic,Base fullK,Light,,20,3,3,3,0.1327,0.0126,0.9311,0.0059,19.3333,0.5774,0.0,0.0,172.7733,2.0337,2.8767,0.0321
BERTopic,Base fullK,Light,,30,3,3,3,0.1321,0.0157,0.8557,0.0122,29.3333,0.5774,0.3333,0.5774,179.1733,3.3915,2.9867,0.0577
BERTopic,Base fullK,Light,,40,3,3,3,0.1318,0.005,0.8521,0.0105,39.0,1.0,0.3333,0.5774,174.8067,6.4486,2.9133,0.106
BERTopic,Base fullK,Light,,50,3,3,3,0.1351,0.0031,0.8303,0.0095,48.3333,1.1547,1.0,1.0,175.4467,11.3014,2.9233,0.1877
BERTopic,Base fullK,Light,,60,3,3,3,0.1388,0.0009,0.8057,0.0076,58.6667,0.5774,0.3333,0.5774,173.41,8.7648,2.89,0.1493
BERTopic,NoiseParams fullK,Heavy,,10,3,3,3,0.1254,0.0397,0.9178,0.0168,9.6667,0.5774,0.0,0.0,180.7367,44.3094,3.01,0.7363
BERTopic,NoiseParams fullK,Heavy,,20,3,3,3,0.1116,0.0032,0.8828,0.0111,19.0,1.0,0.0,0.0,158.0167,5.3637,2.6333,0.0907
BERTopic,NoiseParams fullK,Heavy,,30,3,3,3,0.1117,0.0141,0.881,0.0302,28.6667,0.5774,0.3333,0.5774,160.2333,8.9826,2.6667,0.1484
BERTopic,NoiseParams fullK,Heavy,,40,3,3,3,0.1114,0.0051,0.8771,0.0168,37.6667,0.5774,1.0,0.0,166.41,19.3751,2.7733,0.319
BERTopic,NoiseParams fullK,Heavy,,50,3,3,3,0.0802,0.0259,0.8576,0.0262,46.6667,0.5774,1.0,1.0,159.0833,7.5332,2.65,0.1229
