Model,Variant,Embedding,Vocab,K,Repeat,Experiment,Source_File,Timing_Run_Name,NPMI,Diversity,Valid_Topics,Dropped_Topics,Runtime_Seconds,Runtime_Minutes,Runtime_Log_Entries,Timing_Run_Names
BERTopic,Base fullK,Light,,10,Run1,BERTopic | Base fullK | Light | K10 | Run1,bertopic_topics_LIGHT_EMBfinal_fullK10.json,LIGHT_EMBfinal_K10,0.0830495837356312,0.96,10,0,178.79,2.98,1,LIGHT_EMBfinal_fullK10
BERTopic,Base fullK,Heavy,,10,Run1,BERTopic | Base fullK | Heavy | K10 | Run1,bertopic_topics_HEAVY_EMBfinal_fullK10.json,HEAVY_EMBfinal_K10,0.098508929437213,0.95,10,0,141.75,2.36,1,HEAVY_EMBfinal_fullK10
BERTopic,Base fullK,Light,,20,Run1,BERTopic | Base fullK | Light | K20 | Run1,bertopic_topics_LIGHT_EMBfinal_fullK20.json,LIGHT_EMBfinal_K20,0.1472796605319181,0.936842105263158,19,0,174.28,2.9,1,LIGHT_EMBfinal_fullK20
BERTopic,Base fullK,Heavy,,20,Run1,BERTopic | Base fullK | Heavy | K20 | Run1,bertopic_topics_HEAVY_EMBfinal_fullK20.json,HEAVY_EMBfinal_K20,0.1168610520085967,0.915,20,0,137.61,2.29,1,HEAVY_EMBfinal_fullK20
BERTopic,Base fullK,Light,,30,Run1,BERTopic | Base fullK | Light | K30 | Run1,bertopic_topics_LIGHT_EMBfinal_fullK30.json,LIGHT_EMBfinal_K30,0.1182446190142674,0.8689655172413793,29,1,181.0,3.02,1,LIGHT_EMBfinal_fullK30
BERTopic,Base fullK,Heavy,,30,Run1,BERTopic | Base fullK | Heavy | K30 | Run1,bertopic_topics_HEAVY_EMBfinal_fullK30.json,HEAVY_EMBfinal_K30,0.1737314158174832,0.8888888888888888,27,2,140.51,2.34,1,HEAVY_EMBfinal_fullK30
BERTopic,Base fullK,Light,,40,Run1,BERTopic | Base fullK | Light | K40 | Run1,bertopic_topics_LIGHT_EMBfinal_fullK40.json,LIGHT_EMBfinal_K40,0.1268932501333353,0.8475,40,0,180.81,3.01,1,LIGHT_EMBfinal_fullK40
BERTopic,Base fullK,Heavy,,40,Run1,BERTopic | Base fullK | Heavy | K40 | Run1,bertopic_topics_HEAVY_EMBfinal_fullK40.json,HEAVY_EMBfinal_K40,0.1779487406641665,0.8263157894736842,38,1,136.63,2.28,1,HEAVY_EMBfinal_fullK40
BERTopic,Base fullK,Light,,50,Run1,BERTopic | Base fullK | Light | K50 | Run1,bertopic_topics_LIGHT_EMBfinal_fullK50.json,LIGHT_EMBfinal_K50,0.1314620158627043,0.8408163265306122,49,1,168.57,2.81,1,LIGHT_EMBfinal_fullK50
BERTopic,Base fullK,Heavy,,50,Run1,BERTopic | Base fullK | Heavy | K50 | Run1,bertopic_topics_HEAVY_EMBfinal_fullK50.json,HEAVY_EMBfinal_K50,0.2010752807723502,0.89375,32,1,136.43,2.27,1,HEAVY_EMBfinal_fullK50
BERTopic,Base fullK,Light,,60,Run1,BERTopic | Base fullK | Light | K60 | Run1,bertopic_topics_LIGHT_EMBfinal_fullK60.json,LIGHT_EMBfinal_K60,0.1384032106089249,0.8135593220338984,59,0,167.06,2.78,1,LIGHT_EMBfinal_fullK60
BERTopic,Base fullK,Heavy,,60,Run1,BERTopic | Base fullK | Heavy | K60 | Run1,bertopic_topics_HEAVY_EMBfinal_fullK60.json,HEAVY_EMBfinal_K60,0.1443053934416999,0.8344827586206897,58,1,134.26,2.24,1,HEAVY_EMBfinal_fullK60
BERTopic,Base fullK,Light,,10,Run2,BERTopic | Base fullK | Light | K10 | Run2,bertopic_topics_LIGHT_EMBfinal2_fullK10.json,LIGHT_EMBfinal2_K10,0.1088023381197891,0.98,10,0,185.68,3.09,1,LIGHT_EMBfinal2_fullK10
BERTopic,Base fullK,Heavy,,10,Run2,BERTopic | Base fullK | Heavy | K10 | Run2,bertopic_topics_HEAVY_EMBfinal2_fullK10.json,HEAVY_EMBfinal2_K10,0.1590180847892054,0.9444444444444444,9,1,141.03,2.35,1,HEAVY_EMBfinal2_fullK10
BERTopic,Base fullK,Light,,20,Run2,BERTopic | Base fullK | Light | K20 | Run2,bertopic_topics_LIGHT_EMBfinal2_fullK20.json,LIGHT_EMBfinal2_K20,0.1247858230540631,0.9315789473684212,19,0,173.58,2.89,1,LIGHT_EMBfinal2_fullK20
BERTopic,Base fullK,Heavy,,20,Run2,BERTopic | Base fullK | Heavy | K20 | Run2,bertopic_topics_HEAVY_EMBfinal2_fullK20.json,HEAVY_EMBfinal2_K20,0.1621956812167659,0.9473684210526316,19,1,141.26,2.35,1,HEAVY_EMBfinal2_fullK20
BERTopic,Base fullK,Light,,30,Run2,BERTopic | Base fullK | Light | K30 | Run2,bertopic_topics_LIGHT_EMBfinal2_fullK30.json,LIGHT_EMBfinal2_K30,0.1491852947620838,0.8448275862068966,29,0,175.26,2.92,1,LIGHT_EMBfinal2_fullK30
